# This file was produced by bcftools stats (1.20+htslib-1.20) and can be plotted using plot-vcfstats.
# The command line was:	bcftools stats  -F ref/b_terrestris.fna -s - vcf/b_terrestris.vcf.gz
#
# Definition of sets:
# ID	[2]id	[3]tab-separated file names
ID	0	vcf/b_terrestris.vcf.gz
# SN, Summary numbers:
#   number of records   .. number of data rows in the VCF
#   number of no-ALTs   .. reference-only sites, ALT is either "." or identical to REF
#   number of SNPs      .. number of rows with a SNP
#   number of MNPs      .. number of rows with a MNP, such as CC>TT
#   number of indels    .. number of rows with an indel
#   number of others    .. number of rows with other type, for example a symbolic allele or
#                          a complex substitution, such as ACT>TCGA
#   number of multiallelic sites     .. number of rows with multiple alternate alleles
#   number of multiallelic SNP sites .. number of rows with multiple alternate alleles, all SNPs
# 
#   Note that rows containing multiple types will be counted multiple times, in each
#   counter. For example, a row with a SNP and an indel increments both the SNP and
#   the indel counter.
# 
# SN	[2]id	[3]key	[4]value
SN	0	number of samples:	1
SN	0	number of records:	1130592
SN	0	number of no-ALTs:	0
SN	0	number of SNPs:	1054056
SN	0	number of MNPs:	0
SN	0	number of indels:	76536
SN	0	number of others:	0
SN	0	number of multiallelic sites:	2407
SN	0	number of multiallelic SNP sites:	997
# TSTV, transitions/transversions:
# TSTV	[2]id	[3]ts	[4]tv	[5]ts/tv	[6]ts (1st ALT)	[7]tv (1st ALT)	[8]ts/tv (1st ALT)
TSTV	0	662274	392779	1.69	662040	392016	1.69
# ICS, Indel context summary:
# ICS	[2]id	[3]repeat-consistent	[4]repeat-inconsistent	[5]not applicable	[6]c/(c+i) ratio
ICS	0	16987	2657	58302	0.8647
# ICL, Indel context by length:
# ICL	[2]id	[3]length of repeat element	[4]repeat-consistent deletions)	[5]repeat-inconsistent deletions	[6]consistent insertions	[7]inconsistent insertions	[8]c/(c+i) ratio
ICL	0	2	6538	560	5736	727	0.9051
ICL	0	3	1651	337	919	302	0.8009
ICL	0	4	626	180	299	163	0.7295
ICL	0	5	241	70	144	59	0.7490
ICL	0	6	188	55	127	43	0.7627
ICL	0	7	109	47	47	15	0.7156
ICL	0	8	103	26	31	22	0.7363
ICL	0	9	76	17	32	9	0.8060
ICL	0	10	92	20	28	5	0.8276
# SiS, Singleton stats:
# SiS	[2]id	[3]allele count	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
SiS	0	1	296716	101774	194942	17028	6062	414	10552
# AF, Stats by non-reference allele frequency:
# AF	[2]id	[3]allele frequency	[4]number of SNPs	[5]number of transitions	[6]number of transversions	[7]number of indels	[8]repeat-consistent	[9]repeat-inconsistent	[10]not applicable
AF	0	0.000000	296716	101774	194942	17028	6062	414	10552
AF	0	0.990000	758337	560500	197837	60918	10925	2243	47750
# QUAL, Stats by quality
# QUAL	[2]id	[3]Quality	[4]number of SNPs	[5]number of transitions (1st ALT)	[6]number of transversions (1st ALT)	[7]number of indels
QUAL	0	3.0	1561	486	1075	6
QUAL	0	3.1	1335	390	945	21
QUAL	0	3.2	3220	1102	2118	50
QUAL	0	3.3	415	142	273	17
QUAL	0	3.4	2160	333	1827	7
QUAL	0	3.5	1006	232	774	12
QUAL	0	3.6	3974	804	3170	13
QUAL	0	3.7	5622	1819	3803	68
QUAL	0	3.8	1344	298	1046	14
QUAL	0	3.9	1382	325	1057	3
QUAL	0	4.0	2227	338	1889	4
QUAL	0	4.1	1047	227	820	7
QUAL	0	4.2	549	192	357	5
QUAL	0	4.3	4410	1165	3245	71
QUAL	0	4.4	4915	791	4124	19
QUAL	0	4.5	1996	410	1586	8
QUAL	0	4.6	1202	234	968	13
QUAL	0	4.7	569	192	377	18
QUAL	0	4.8	3513	824	2689	19
QUAL	0	4.9	14500	3931	10569	16
QUAL	0	5.0	6141	2080	4061	69
QUAL	0	5.1	1509	368	1141	13
QUAL	0	5.2	726	223	503	9
QUAL	0	5.3	555	181	374	15
QUAL	0	5.4	1251	253	998	13
QUAL	0	5.5	1477	304	1173	20
QUAL	0	5.6	1152	334	818	18
QUAL	0	5.7	3482	1189	2293	65
QUAL	0	5.8	468	166	302	15
QUAL	0	5.9	273	101	172	9
QUAL	0	6.0	3269	630	2639	13
QUAL	0	6.1	1639	380	1259	5
QUAL	0	6.2	1050	273	777	7
QUAL	0	6.3	1797	343	1454	20
QUAL	0	6.4	1195	379	816	39
QUAL	0	6.5	1927	766	1161	58
QUAL	0	6.6	532	130	402	10
QUAL	0	6.7	2762	401	2361	6
QUAL	0	6.8	3013	481	2532	8
QUAL	0	6.9	1796	404	1392	14
QUAL	0	7.0	1032	282	750	12
QUAL	0	7.1	727	249	478	18
QUAL	0	7.2	1004	355	649	40
QUAL	0	7.3	1798	729	1069	34
QUAL	0	7.4	290	90	200	15
QUAL	0	7.5	361	117	244	10
QUAL	0	7.6	6344	1857	4487	7
QUAL	0	7.7	1461	439	1022	6
QUAL	0	7.8	1644	488	1156	6
QUAL	0	7.9	684	253	431	22
QUAL	0	8.0	1949	426	1523	11
QUAL	0	8.1	2563	883	1680	62
QUAL	0	8.2	615	174	441	15
QUAL	0	8.3	598	143	455	9
QUAL	0	8.4	392	136	256	10
QUAL	0	8.5	355	131	224	6
QUAL	0	8.6	1003	234	769	10
QUAL	0	8.7	1144	282	862	15
QUAL	0	8.8	621	233	388	17
QUAL	0	8.9	5753	1758	3995	78
QUAL	0	9.0	1683	275	1408	12
QUAL	0	9.1	995	245	750	7
QUAL	0	9.2	617	172	445	10
QUAL	0	9.3	529	144	385	5
QUAL	0	9.4	305	109	196	10
QUAL	0	9.5	1736	276	1460	11
QUAL	0	9.6	2690	493	2197	13
QUAL	0	9.7	1659	333	1326	15
QUAL	0	9.8	2284	828	1456	56
QUAL	0	9.9	441	140	301	11
QUAL	0	10.0	213	79	134	7
QUAL	0	10.1	252	85	167	11
QUAL	0	10.2	255	88	167	4
