name,gene,b_terrestris_B_100,b_terrestris_B_246,b_terrestris_B_36,b_terrestris_B_39,b_terrestris_B_415,b_terrestris_B_9,b_terrestris_G_87
LOC100648268,LOC100648268,2,0,0,0,0,0,0
LOC100650023,LOC100650023,139,138,20,22,102,116,6
LOC125384698,LOC125384698,0,2,0,0,0,0,0
LOC100650139,LOC100650139,142,115,52,56,91,115,66
LOC125384718,LOC125384718,1,0,0,0,1,6,1
LOC100650265,LOC100650265,92,96,85,65,73,92,71
LOC100650388,LOC100650388,24,22,28,14,29,91,26
LOC100650511,LOC100650511,77,78,21,18,112,108,124
LOC105666912,LOC105666912,61,26,44,29,34,41,39
LOC100650629,LOC100650629,52,104,95,44,109,65,56
LOC100650754,LOC100650754,299,277,84,90,284,118,244
LOC125384641,LOC125384641,42,46,31,24,125,128,73
LOC100650872,LOC100650872,205,328,153,146,300,435,214
LOC100651113,LOC100651113,444,653,429,176,698,548,433
LOC100648385,LOC100648385,89,68,160,203,114,302,95
LOC125384793,LOC125384793,0,0,0,0,0,0,0
LOC125385192,LOC125385192,0,8,0,0,4,0,0
LOC100651235,LOC100651235,32,63,6,8,48,18,83
LOC100651474,LOC100651474,121,121,24,8,105,60,1347
LOC105667172,LOC105667172,0,0,0,0,0,0,50
LOC110119538,LOC110119538,0,2,4,0,0,54,4
LOC100651591,LOC100651591,16,26,78,85,32,42,32
LOC100651709,LOC100651709,59,68,113,109,102,90,93
LOC100651827,LOC100651827,13,10,5,5,4,10,9
LOC125385244,LOC125385244,0,0,1,0,0,0,0
LOC100648076,LOC100648076,28,25,12,9,15,2,9
LOC100652027,LOC100652027,199,189,372,367,196,196,234
LOC100642190,LOC100642190,66,108,73,62,112,82,124
LOC100648617,LOC100648617,12,12,13,15,13,15,21
LOC100642911,LOC100642911,66,70,48,30,70,48,38
LOC100642433,LOC100642433,28,52,74,40,56,85,27
LOC100642313,LOC100642313,118,101,74,57,114,78,95
LOC100643028,LOC100643028,225,348,744,559,300,1098,401
LOC100642673,LOC100642673,159,177,320,138,121,252,200
LOC100642551,LOC100642551,84,105,75,73,99,132,83
LOC100652148,LOC100652148,243,482,364,252,363,504,272
LOC100648733,LOC100648733,5,6,2,2,8,3,10
LOC125385578,LOC125385578,6,2,10,6,9,12,8
LOC100642791,LOC100642791,74,80,40,64,68,90,83
LOC100648847,LOC100648847,4,11,10,6,8,24,11
LOC100648963,LOC100648963,42,38,54,34,34,47,37
LOC100642312,LOC100642312,64,43,84,64,61,96,54
LOC100642432,LOC100642432,52,60,53,46,38,84,46
LOC100642550,LOC100642550,41,41,6,8,42,16,28
LOC100642672,LOC100642672,77,57,106,76,86,96,143
LOC100642790,LOC100642790,68,88,86,67,76,72,57
LOC100642910,LOC100642910,171,162,98,111,150,160,181
LOC100643147,LOC100643147,39,85,44,17,33,135,44
LOC100643514,LOC100643514,87,226,11,12,246,28,25
LOC100643027,LOC100643027,141,78,90,102,106,149,100
LOC100643270,LOC100643270,45,30,17,16,24,28,18
LOC100643393,LOC100643393,18,22,23,12,16,26,18
LOC100644354,LOC100644354,208,240,166,68,246,426,365
LOC100643837,LOC100643837,23,38,34,15,22,34,33
LOC100644746,LOC100644746,4,7,0,0,2,2,0
LOC100644236,LOC100644236,177,194,111,24,267,117,149
LOC100649198,LOC100649198,36,29,34,18,42,20,23
LOC100644628,LOC100644628,13,12,25,18,17,37,14
LOC100644046,LOC100644046,226,297,101,50,313,101,181
LOC100644871,LOC100644871,161,218,246,124,227,286,341
LOC100644991,LOC100644991,66,65,29,42,61,61,81
LOC100645110,LOC100645110,45,49,48,28,50,80,97
LOC100645230,LOC100645230,29,22,27,8,46,310,35
LOC105666164,LOC105666164,26,22,35,15,23,32,32
LOC100645431,LOC100645431,0,2,2,0,0,34,0
LOC100649317,LOC100649317,68,70,97,51,91,139,99
LOC100645550,LOC100645550,100,95,96,61,115,88,120
LOC100645787,LOC100645787,79,103,82,49,157,117,108
LOC100645666,LOC100645666,216,212,170,142,220,610,238
LOC100645973,LOC100645973,59,47,83,54,48,51,56
LOC100646091,LOC100646091,141,68,42,16,126,65,44
LOC100646214,LOC100646214,146,187,82,62,125,80,75
LOC100649434,LOC100649434,316,322,348,256,229,1346,326
LOC100649559,LOC100649559,0,2,2,0,0,0,10
LOC125387181,LOC125387181,0,0,0,0,0,2,17
