run_accession,sample_accession,sample_alias,sample_description,first_public,country,scientific_name,fastq_bytes,base_count,read_count,library_name,library_strategy,library_source,library_layout,instrument_platform,instrument_model,study_title,fastq_url,info
SRR3692915,SAMN05267379,I-D1,Model organism or animal sample from Bombus terrestris,2016-10-06,,Bombus terrestris,2330353821;2523827366,8184465300,27281551,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/005/SRR3692915/SRR3692915_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/005/SRR3692915/SRR3692915_2.fastq.gz']","2 GB, 3 GB files; 27.3 million reads; 8184.5 million sequenced bases"
SRR3692989,SAMN05271227,I-D2,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2073051036;2404630016,7803511800,26011706,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/009/SRR3692989/SRR3692989_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/009/SRR3692989/SRR3692989_2.fastq.gz']","2 GB, 2 GB files; 26.0 million reads; 7803.5 million sequenced bases"
SRR3692994,SAMN05271228,I-D3,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,1750452239;2048474922,6445918800,21486396,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/004/SRR3692994/SRR3692994_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/004/SRR3692994/SRR3692994_2.fastq.gz']","2 GB, 2 GB files; 21.5 million reads; 6445.9 million sequenced bases"
SRR3692998,SAMN05271236,I-D6,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2553701576;2968833915,9546510300,31821701,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/008/SRR3692998/SRR3692998_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/008/SRR3692998/SRR3692998_2.fastq.gz']","3 GB, 3 GB files; 31.8 million reads; 9546.5 million sequenced bases"
SRR3693010,SAMN05271239,I-D9,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,3018600364;3510354040,11376817500,37922725,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/000/SRR3693010/SRR3693010_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/000/SRR3693010/SRR3693010_2.fastq.gz']","3 GB, 4 GB files; 37.9 million reads; 11376.8 million sequenced bases"
SRR3693012,SAMN05271241,I-D11,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,1742502996;2016346028,6497879700,21659599,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/002/SRR3693012/SRR3693012_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/002/SRR3693012/SRR3693012_2.fastq.gz']","2 GB, 2 GB files; 21.7 million reads; 6497.9 million sequenced bases"
SRR3693014,SAMN05271242,I-D12,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,1718829015;1998051982,6497508900,21658363,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/004/SRR3693014/SRR3693014_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/004/SRR3693014/SRR3693014_2.fastq.gz']","2 GB, 2 GB files; 21.7 million reads; 6497.5 million sequenced bases"
SRR3693015,SAMN05271243,I-D13,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2099990370;2449763120,7935839100,26452797,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/005/SRR3693015/SRR3693015_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/005/SRR3693015/SRR3693015_2.fastq.gz']","2 GB, 2 GB files; 26.5 million reads; 7935.8 million sequenced bases"
SRR3692997,SAMN05271235,I-D5,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,2292465485;2682145834,8576681400,28588938,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/007/SRR3692997/SRR3692997_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/007/SRR3692997/SRR3692997_2.fastq.gz']","2 GB, 3 GB files; 28.6 million reads; 8576.7 million sequenced bases"
SRR3693000,SAMN05271237,I-D7,Invertebrate sample from Bombus terrestris,2016-10-06,China: Jinan,Bombus terrestris,1886681044;2201231806,7071658800,23572196,,WGS,GENOMIC,PAIRED,ILLUMINA,Illumina HiSeq 4000,Bombus terrestris Raw sequence reads,"['https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/000/SRR3693000/SRR3693000_1.fastq.gz', 'https://ftp.sra.ebi.ac.uk/vol1/fastq/SRR369/000/SRR3693000/SRR3693000_2.fastq.gz']","2 GB, 2 GB files; 23.6 million reads; 7071.7 million sequenced bases"
